;business_id;cool;date;funny;review_id;stars;text;useful;user_id
4180367;riFzCvp77DMKDX-5GoTpqA;0;2016-07-26;0;T6iKuaerOK1dgFP6qIlzjA;2;We were gambling late and wanted something to snack on, they had a window open just for togo orders and we got a couple shakes & french fries. Fries were delicious but the shakes were horrible. It was icy and gritty, gross. My first time experience was good, but this second time around, yuck. I will skip this steak 'n shake and go elsewhere for my sweet tooth.;1;B0ENvYKQdNNr1Izd2r-BAA
5960159;NFMD_-wFrbfdhTcdHPDCZQ;15;2014-02-06;8;P9hsidWSqjjsz-XJO0KWGw;4;"I have had this place bookmarked for some time, so when given the opportunity to dine here with some fellow Yelpers, I was excited by the prospect. We arrived around noon and the place wasn't too busy. We shared a large number of items from the menu.

Here's a list of all everything we tried:

GARLC KNOTS: Really good. Really small, but warm, flavorful and soft. 
RICE BALLS: These were just ok. I enjoyed them, but they weren't notable. 
LASAGNA EXPLOSIONS - I don't usually like lasagna, but this was a nice change of pace from typical lasagna. Moist and very cheesy.
TRIPE - My favorite part of the meal. I don't typically enjoy tripe, but this preparation was very enjoyable. Not chewy at all and didn't have that tripe-y smell that usually turns me off.
MEATBALLS & ITALIAN SAUSAGE - This dish was ok. The meatballs are huge, however, and I enjoyed the tomato sauce.  
SEAFOOD PASTA IN GARLIC CREAM SAUCE - This dish was just ok. the sauce didn't have enough depth of flavor for me and I don't see myself ordering this dish again if I returned.
SICILIAN PIZZA - I'm not usually a fan of deep dish. This had nice flavor, but it was a little doughy for my taste. Everyone else seemed to love this pizza, so it's just a matter of preference.
WHITE PIZZA - This was one of the standouts. The pizza was seasoned and cooked well. I could have eaten just this dish and been happy. 
EGGPLANT PARM - I absolutely love eggplant, but this wasn't my favorite preparation. Too much breading and the eggplant was sliced a little too thinly for my taste. I do enjoy how they serve ziti instead of spaghetti with this dish, since I'm not a fan of spaghetti.
ZEPPOLES - These were my favorite of all the desserts served. I usually don't enjoy Italian desserts since they are a little denser than I prefer, so the zeppoles stood out for being a little more subtle and not overly sweet. Plus, I can never resist powdered sugar. 
RAINBOW CAKE - This was a little on the dry side for me. A little too chocolatey as well, but that's just a matter of preference.
CANNOLI - I don't usually like cannolis and I can't say this one changed my mind about them. 
ASSORTED COOKIES - These were good. They have a number of varieties and I would be back for more of these for sure. 

Service was spectacular. Our drinks were kept full and everyone was extremely friendly and entertaining, making our meal that much more enjoyable. 

We all had a great meal and there were plenty of leftovers for all. I was able to take some home to my mom who's a pasta fanatic and she loved it. I'd definitely be back for pizza, tripe and dessert as those were my favorites from our meal.";18;UYcmGbelzRa0Q6JqzLoguw
3109126;RiO6Jcjya1z-9gAQzNU3LA;0;2014-05-12;3;Spb1EIt9SEYeVmnorWU6Jw;5;"Decided to get out of Tremont and find some beers and some food.  My friend and I decided on Mike's, due to the fact that the last time I was there I had one of the best burgers I've ever consumed.  Too bad it was a special. This time I went overboard and got the ridiculous Stack Attack burger.  2 pounds of meat, a bunch of melty American cheese, crisp smokey bacon, and loads of regret.  

The beef patties were moist and juicy and very flavorful, I could only make it through about 1/3rd of this delicious monstrosity but every moment was pure burger bliss.  

Other tables gawked at the size of my meat. 

The service was attentive and fun, the food has been amazing both times I have been there, and the beer was the perfect temperature.  

I'll end this review as I will with all further reviews.  When we left, my friend Erika was hammered and I was full.";2;QKj_fglwc_X1VKQP8oBHXQ
2899286;yB1oj0R5CSjQtC_1JilPrA;0;2016-12-12;1;BAbr9Gt_h4f8kkPk6zGDEw;2;Unfortunately I only gave main event 2 stars because I had a lot of fun doing the events and they had good food. But the employees were very rude and didn't look anyone in the Eyes. We had a big party and we orders about 10 waters and 5 sodas and they took 45 minutes just to bring it to us. The ladies didn't help us in any way and we waited 10 minutes just to do an activity that needed there assistance;1;PszdWf6OZl50W54UHvMaWg
4231667;W98fZXdlQIUBRjWah7U-ng;0;2015-06-16;0;-Kd88c6rXYAI4PzxOVeRIQ;2;"This company is really difficult to do business with.  Extremely unresponsive.  We decided to change insurances in January because we thought Embrace would offer better coverage.  In short, I would stay far, far away.

Initially, they had difficulty in getting the documentation from our vets.  I decided to do all the leg work myself - only to be told when I called the vet, oh, we already sent this to the insurance company.  Ok.... So, I had the vet send the records to me to forward on.   Only to be told that they still didn't receive anything.  After a phone call, it was determined that it was in fact included in the attachment, and it was overlooked. 

Six months after our initial enrollment, we are still trying to determine what is considered a pre-existing condition.  We received a list of exclusions on 4/20.  We sent in our initial appeal on 4/27.  We sent in a follow up asking for a response on 5/22.  Still no response.  I just sent another follow up.

Ironically enough, as I am writing this review, I just received a response.  I should 'expect to hear back with a decision within 15 business days'.  Third time's a charm.

Update:  I increased my star rating.  I received closure the next day (after the third attempt).  The exclusion we appealed was revoked.  Now that we are through the paperwork / set up phase, I am hopeful for an easier relationship moving forward.";5;JrXaC8v3CcJ1Vp_KJ2epHw
4909859;OFw59czUoeeosFMKfRawmg;0;2011-10-09;0;TaCnU3O4buuz78eTYsH2nw;4;Fantastic pecan salmon! So amazing! The burger was great too! The garlic fries are addictive and pungent! And the brownie was the best I'd ever had! Great place to blow the little winnings we did have.;0;jOAPND1xGJg3z4lefv9Odg
3337381;epETdeCmoF_-ufT5b8ACUA;0;2016-06-04;0;3pLQJOh-QqB7xGCXibRAnQ;5;Exceptional service and extremely friendly. We were a party of ten and they sat us down just a few minutes after we had arrived. They quickly had our drinks and made sure they had a server come to our table and refill our drinks. The food was as equally great. Loved my experience here and definitely recommend this place.;0;7oyuDrj5y-1CFoLIMLqQMw
5463338;EXrEc5iz8dRAoxfcJRQsIw;0;2017-08-04;1;3K8jXTXnkchCpNQ3IKaxBw;1;Check the dates on anything you go to buy here, because despite having just moved into a larger location, they do not appear to have sorted through their products and discarded the expired items. The reason I did not buy the sheet masks I found there was that they were all over a year past their expiration date. With that carelessness, I really hesitate to buy food there.;0;d8j8ktGnZjt_e-hj4FkItA
1966547;nrahyQyopCtajDqUtVVVfA;0;2012-05-15;0;XWBQ52NiWdIvuh93xeWq4A;4;Not a daring sushi eater.  I only eat cooked stuff but this place has some really good cooked rolls.  According to my person, they have really good tuna selections.;1;L5uRYpL9arVGueEetKjmpw
1384567;lLZMIv_SovV9W6l5ZFSH_A;0;2015-08-10;0;mSixEbgWgTXRERNUWhEAxw;5;I love this NEW  Salon in Ballantyne. Very upscale and chic salon. Courtney is my hairdresser and is so cute. She definitely knows how to cut and style hair. Easy parking in the Harris Teeter parking lot behind Big View Diner.. This place is definitely worth going to.;0;-QPgwDAFnfFzlzfhtSamnw
